Date,Ticker,Open,High,Low,Close,Volume,Return
2021-01-04,AAPL,390.2,392.48,389.43,390.2,2204659,0.0
2021-01-05,AAPL,393.09,396.64,392.28,396.25,3718108,0.015504869297795931
2021-01-06,AAPL,395.28,404.61,394.75,403.9,3606177,0.01930599369085173
2021-01-07,AAPL,402.54,403.99,388.13,388.34,4441127,-0.03852438722456053
2021-01-08,AAPL,392.77,393.81,376.11,378.42,2674767,-0.025544625843333058
2021-01-11,AAPL,378.07,383.11,377.69,379.58,1821561,0.0030653770942339342
2021-01-12,AAPL,376.96,377.8,374.63,377.37,2629299,-0.005822224563991729
2021-01-13,AAPL,379.87,382.73,374.33,377.43,1487875,0.0001589951506479892
2021-01-14,AAPL,378.2,381.97,371.01,371.18,1839874,-0.0165593620009008
2021-01-15,AAPL,372.53,381.48,370.38,377.89,2605059,0.01807748262298614
2021-01-18,AAPL,378.96,384.61,375.25,383.96,2304130,0.01606287543994278
2021-01-19,AAPL,384.13,386.19,381.88,384.66,2994558,0.0018231065736016294
2021-01-20,AAPL,384.71,394.79,383.97,393.52,4927510,0.023033328133936326
2021-01-21,AAPL,396.04,399.74,394.61,397.4,1413133,0.009859727586907896
2021-01-22,AAPL,396.34,398.05,388.29,390.77,2516187,-0.016683442375440394
2021-01-25,AAPL,387.24,395.39,385.96,393.85,4707077,0.00788187424827913
2021-01-26,AAPL,395.75,398.0,384.7,386.49,2164865,-0.01868731750666497
2021-01-27,AAPL,385.09,394.73,383.76,393.47,3635013,0.018059975678542894
2021-01-28,AAPL,393.4,393.77,392.62,393.28,3002593,-0.0004828830660534855
2021-01-29,AAPL,393.47,394.31,389.81,392.02,3892455,-0.0032038242473555467
2021-02-01,AAPL,391.92,392.93,383.68,386.88,4882636,-0.013111575940003006
2021-02-02,AAPL,388.13,399.18,387.93,396.53,4710019,0.024943134822166924
2021-02-03,AAPL,399.4,400.97,391.85,395.5,4685290,-0.0025975336040147123
2021-02-04,AAPL,395.55,395.7,389.64,392.31,3315910,-0.00806573957016432
2021-02-05,AAPL,393.02,393.13,386.85,389.74,1604129,-0.0065509418572047284
2021-02-08,AAPL,385.82,395.92,385.8,394.09,4408581,0.011161287011854037
2021-02-09,AAPL,394.58,398.48,391.11,397.17,4953530,0.00781547362277668
2021-02-10,AAPL,398.8,401.73,398.16,400.64,2492242,0.008736812951632755
2021-02-11,AAPL,399.85,406.3,397.71,404.3,1962845,0.009135383386581486
2021-02-12,AAPL,401.11,425.42,400.36,421.82,4861663,0.04333415780361105
2021-02-15,AAPL,419.78,423.47,417.03,418.6,1469148,-0.007633587786259444
2021-02-16,AAPL,419.88,421.91,412.18,414.52,1404424,-0.009746774964166316
2021-02-17,AAPL,409.38,411.86,406.25,407.98,4739795,-0.015777284570105077
2021-02-18,AAPL,407.27,413.7,404.03,413.21,2479937,0.012819255845874622
2021-02-19,AAPL,411.81,423.95,410.56,422.75,3922014,0.023087534183587
2021-02-22,AAPL,422.32,424.51,420.04,421.99,4497337,-0.0017977528089887507
2021-02-23,AAPL,424.51,425.2,412.34,415.11,1454403,-0.01630370387923885
2021-02-24,AAPL,411.87,412.04,406.59,408.48,2506936,-0.015971670159716678
2021-02-25,AAPL,409.07,414.88,408.5,414.0,3296916,0.013513513513513375
2021-02-26,AAPL,410.11,420.76,406.22,420.36,1753897,0.015362318840579814
2021-03-01,AAPL,420.92,428.57,416.82,425.13,1980669,0.011347416500142593
2021-03-02,AAPL,426.53,430.25,417.03,419.69,1322941,-0.012796085903135523
2021-03-03,AAPL,418.01,423.66,417.86,421.85,1817871,0.005146655865043259
2021-03-04,AAPL,419.67,427.1,419.5,423.04,3138403,0.0028209079056535913
2021-03-05,AAPL,421.49,426.39,417.69,425.1,2554832,0.004869515885022713
2021-03-08,AAPL,426.3,436.35,425.8,432.72,1180458,0.01792519407198312
